Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 9291 root         20   0    0    0    0 I  0.0   0.0   0:00.10 [kworker/7:5-events_freezable_pwr_efficient]
 9288 root         20   0    0    0    0 I  0.0   0.0   0:00.23 [kworker/7:4-events]
 9287 root         20   0    0    0    0 I  0.0   0.0   0:00.37 [kworker/7:2-events_freezable_pwr_efficient]
 9285 root         20   0    0    0    0 I  0.0   0.0   0:00.14 [kworker/6:6-events]
 9283 root         20   0    0    0    0 I  0.0   0.0   0:01.94 [kworker/u32:11-async]
 9277 root         20   0    0    0    0 I  0.0   0.0   0:00.46 [kworker/6:0-events_freezable_pwr_efficient]
 9275 root         20   0    0    0    0 I  0.0   0.0   0:02.37 [kworker/u32:8-async]
 9274 root         20   0    0    0    0 I  0.0   0.0   0:02.37 [kworker/u32:7-async]
 9273 root         20   0    0    0    0 I  0.0   0.0   0:02.68 [kworker/u32:6-async]
 9057 root          0 -20    0    0    0 I  0.0   0.0   0:00.19 [kworker/6:6H-kverityd]
 9053 root          0 -20    0    0    0 I  0.0   0.0   0:03.87 [kworker/u33:3-mali_jd]
 9017 root         20   0    0    0    0 I  0.0   0.0   0:01.63 [kworker/1:3-events]
 9016 root         20   0    0    0    0 I  0.0   0.0   0:00.98 [kworker/2:3-events]
 8812 root         20   0    0    0    0 I  0.0   0.0   0:02.82 [kworker/u32:2-events_unbound]
 7633 root         20   0    0    0    0 I  0.0   0.0   0:00.75 [kworker/6:1-events]
 7568 root          0 -20    0    0    0 I  0.0   0.0   0:00.41 [kworker/6:1H-kverityd]
 7167 root         20   0    0    0    0 I  0.0   0.0   0:05.29 [kworker/u32:1-ged_kpi]
 7166 root         20   0    0    0    0 I  0.0   0.0   0:00.20 [kworker/6:2-events]
 7162 root         20   0    0    0    0 I  0.0   0.0   0:01.86 [kworker/0:2-events]
 7152 root         20   0    0    0    0 I  0.0   0.0   0:02.64 [kworker/4:2-pm]
 7130 root         20   0    0    0    0 I  0.0   0.0   0:04.65 [kworker/u32:3-async]
 6527 root         20   0    0    0    0 I  0.0   0.0   0:02.18 [kworker/5:1-pm]
 6520 root          0 -20    0    0    0 I  0.0   0.0   0:00.64 [kworker/2:0H-kverityd]
 6438 root          0 -20    0    0    0 I  0.0   0.0   0:00.43 [kworker/4:0H-fsverity_read_queue]
 6425 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/7:4H-kverityd]
 5966 root          0 -20    0    0    0 I  0.0   0.0   0:00.34 [kworker/5:1H-kblockd]
31471 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
31090 u0_a237      20   0  10G 125M  75M S  0.0   3.4   1:08.24 com.google.android.gms
31064 u0_a237      20   0  10G 149M  89M S  0.0   4.0   2:30.84 com.google.android.gms.persistent
30210 u0_a231      20   0 8.9G  55M  41M S  0.0   1.5   0:05.97 com.google.android.as
30078 webview_zygote 20 0 8.4G  30M  20M S  0.0   0.8   0:00.30 webview_zygote
25989 root         20   0    0    0    0 I  0.0   0.0   0:03.42 [kworker/3:2-pm]
17718 u0_a238      20   0 9.4G  56M  40M S  0.0   1.5   0:05.60 com.google.android.googlequicksearchbox:interactor
 9597 root         20   0 2.0G 2.3M 2.0M S  0.0   0.0   0:01.61 ip6tables-restore --noflush -w -v
 4672 root         20   0    0    0    0 I  0.0   0.0   0:16.68 [kworker/u32:0-ged_fence]
 3468 system       20   0 8.2G  42M  33M S  0.0   1.1   0:01.19 com.sec.android.soagent
28784 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
26392 wifi         20   0 2.1G 4.4M 4.1M S  0.0   0.1   0:02.54 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
24129 shell        20   0 2.1G 3.6M 3.4M S  0.0   0.0   0:00.03 abb
24068 shell        20   0 2.3G 3.8M 3.1M S  0.0   0.1   0:30.72 adbd --root_seclabel=u:r:su:s0 --tim_seclabel=u:r:adbd_tradeinmode:s0
